City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Samarai,PG,2022-08-16 14:44:07,-10.6167,150.6667,77.85,72,71,13.91
68,Avarua,CK,2022-08-16 14:44:07,-21.2078,-159.775,69.85,64,75,10.36
69,Tomatlan,MX,2022-08-16 14:44:08,19.9333,-105.25,80.15,70,100,2.35
70,Tilichiki,RU,2022-08-16 14:44:08,60.4667,166.1,51.48,85,100,24.56
71,Castro,BR,2022-08-16 14:44:09,-24.7911,-50.0119,68.86,57,91,4.45
72,Xining,CN,2022-08-16 14:44:09,36.6167,101.7667,65.28,79,35,2.51
73,Teguldet,RU,2022-08-16 14:44:09,57.3064,88.1667,47.26,99,100,7.49
74,Neunkirchen,DE,2022-08-16 14:44:10,49.35,7.1833,87.37,35,0,6.91
75,Tiznit,MA,2022-08-16 14:44:10,29.5833,-9.5,81.54,39,0,12.17
76,Ostrow Mazowiecka,PL,2022-08-16 14:40:31,52.8024,21.8951,79.63,43,99,5.95
77,Lebu,CL,2022-08-16 14:44:11,-37.6167,-73.65,51.46,93,100,16.22
78,Mar Del Plata,AR,2022-08-16 14:44:11,-38.0023,-57.5575,56.95,51,0,18.99
79,Arraial Do Cabo,BR,2022-08-16 14:44:11,-22.9661,-42.0278,84.16,44,0,10.36
80,Longyearbyen,SJ,2022-08-16 14:41:59,78.2186,15.6401,44.44,70,75,28.77
81,Peterhead,GB,2022-08-16 14:44:12,57.5058,-1.7981,55.8,86,100,26.46
82,Saint-Philippe,RE,2022-08-16 14:44:12,-21.3585,55.7679,72.21,74,49,6.06
83,Anadyr,RU,2022-08-16 14:44:13,64.75,177.4833,43.3,75,40,8.95
84,Antofagasta,CL,2022-08-16 14:39:23,-23.65,-70.4,56.48,50,0,7.94
85,Makakilo City,US,2022-08-16 14:44:13,21.3469,-158.0858,72.68,79,20,4.61
86,Henties Bay,NA,2022-08-16 14:44:14,-22.116,14.2845,60.48,68,2,12.08
87,Arinos,BR,2022-08-16 14:44:14,-15.9169,-46.1056,87.57,26,93,5.23
